id,title,duration,director,actors,genres,year
193,Morgan,92,Luke Scott,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare","Horror,Sci-Fi,Thriller",2016
194,Warrior,140,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison","Action,Drama,Sport",2011
195,Captain America: The First Avenger,124,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell","Action,Adventure,Sci-Fi",2011
196,Hacker,95,Akan Satayev,"Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.","Crime,Drama,Thriller",2016
197,Into the Wild,148,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden","Adventure,Biography,Drama",2007
198,The Imitation Game,114,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech","Biography,Drama,Thriller",2014
199,Central Intelligence,107,Rawson Marshall Thurber,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan","Action,Comedy,Crime",2016
200,Edge of Tomorrow,113,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson","Action,Adventure,Sci-Fi",2014
201,A Cure for Wellness,146,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi","Drama,Fantasy,Horror",2016
202,Snowden,134,Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto","Biography,Drama,Thriller",2016
203,Iron Man,126,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges","Action,Adventure,Sci-Fi",2008
204,Allegiant,120,Robert Schwentke,"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts","Action,Adventure,Mystery",2016
205,X: First Class,132,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon","Action,Adventure,Sci-Fi",2011
206,Raw (II),99,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas","Drama,Horror",2016
207,Paterson,118,Jim Jarmusch,"Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji","Comedy,Drama,Romance",2016
208,Bridesmaids,125,Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews","Comedy,Romance",2011
209,The Girl with All the Gifts,111,Colm McCarthy,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine","Drama,Horror,Thriller",2016
210,San Andreas,114,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes","Action,Adventure,Drama",2015
211,Spring Breakers,94,Harmony Korine,"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine",Drama,2012
212,Transformers,144,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","Action,Adventure,Sci-Fi",2007
213,Old Boy,104,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley","Action,Drama,Mystery",2013
214,Thor: The Dark World,112,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan SkarsgÃ¥rd","Action,Adventure,Fantasy",2013
215,Gods of Egypt,126,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman","Action,Adventure,Fantasy",2016
216,Captain America: The Winter Soldier,136,Anthony Russo,"Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford","Action,Adventure,Sci-Fi",2014
217,Monster Trucks,104,Chris Wedge,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper","Action,Adventure,Comedy",2016
218,A Dark Song,100,Liam Gavin,"Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker","Drama,Horror",2016
219,Kick-Ass,117,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, ChloÃ« Grace Moretz, Garrett M. Brown","Action,Comedy",2010
220,Hardcore Henry,96,Ilya Naishuller,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky","Action,Adventure,Sci-Fi",2015
221,Cars,117,John Lasseter,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy","Animation,Adventure,Comedy",2006
222,It Follows,100,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe","Horror,Mystery",2014
223,The Girl with the Dragon Tattoo,158,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer,Stellan SkarsgÃ¥rd","Crime,Drama,Mystery",2011
224,We're the Millers,110,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms","Comedy,Crime",2013
225,American Honey,163,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",Drama,2016
226,The Lobster,119,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman","Comedy,Drama,Romance",2015
227,Predators,107,NimrÃ³d Antal,"Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga","Action,Adventure,Sci-Fi",2010
228,Maleficent,97,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville","Action,Adventure,Family",2014
229,Rupture,102,Steven Shainberg,"Noomi Rapace, Michael Chiklis, Kerry BishÃ©,Peter Stormare","Horror,Sci-Fi,Thriller",2016
230,Pan's Labyrinth,118,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi LÃ³pez,Maribel VerdÃº","Drama,Fantasy,War",2006
231,A Kind of Murder,95,Andy Goddard,"Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser","Crime,Drama,Thriller",2016
232,Apocalypto,139,Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo, Dalia HernÃ¡ndez,Rudy Youngblood","Action,Adventure,Drama",2006
233,Mission: Impossible - Rogue Nation,131,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg","Action,Adventure,Thriller",2015
234,The Huntsman: Winter's War,114,Cedric Nicolas-Troyan,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt","Action,Adventure,Drama",2016
235,The Perks of Being a Wallflower,102,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd","Drama,Romance",2012
236,Jackie,100,Pablo LarraÃ­n,"Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup","Biography,Drama,History",2016
237,The Disappointments Room,85,D.J. Caruso,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till","Drama,Horror,Thriller",2016
238,The Grand Budapest Hotel,99,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody","Adventure,Comedy,Drama",2014
239,The Host,125,Andrew Niccol,"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger","Action,Adventure,Romance",2013
240,Fury,134,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael PeÃ±a","Action,Drama,War",2014
241,Inside Out,95,Pete Docter,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling","Animation,Adventure,Comedy",2015
242,Rock Dog,90,Ash Brannon,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black","Animation,Adventure,Comedy",2016
243,Terminator Genisys,126,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney","Action,Adventure,Sci-Fi",2015
244,Percy Jackson & the Olympians: The Lightning Thief,118,Chris Columbus,"Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson","Adventure,Family,Fantasy",2010
245,Les MisÃ©rables,158,Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried","Drama,Musical,Romance",2012
246,Children of Men,109,Alfonso CuarÃ³n,"Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine","Drama,Sci-Fi,Thriller",2006
247,20th Century Women,119,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup","Comedy,Drama",2016
248,Spy,119,Paul Feig,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham","Action,Comedy,Crime",2015
249,The Intouchables,112,Olivier Nakache,"FranÃ§ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","Biography,Comedy,Drama",2011
250,Bonjour Anne,92,Eleanor Coppola,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch","Comedy,Drama,Romance",2016
251,Kynodontas,94,Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis","Drama,Thriller",2009
252,Straight Outta Compton,147,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.","Biography,Drama,History",2015
253,The Amazing Spider-Man 2,142,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti","Action,Adventure,Sci-Fi",2014
254,The Conjuring,112,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor","Horror,Mystery,Thriller",2013
255,The Hangover,100,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",Comedy,2009
256,Battleship,131,Peter Berg,"Alexander SkarsgÃ¥rd, Brooklyn Decker, Liam Neeson,Rihanna","Action,Adventure,Sci-Fi",2012
257,Rise of the Planet of the Apes,105,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval","Action,Drama,Sci-Fi",2011
258,Lights Out,81,David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke",Horror,2016
259,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,118,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg","Drama,Thriller",2016
260,Birdman or (The Unexpected Virtue of Ignorance),119,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough","Comedy,Drama,Romance",2014
261,Black Swan,108,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder","Drama,Thriller",2010
262,Dear White People,108,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris","Comedy,Drama",2014
263,Nymphomaniac: Vol. I,117,Lars von Trier,"Charlotte Gainsbourg, Stellan SkarsgÃ¥rd, Stacy Martin, Shia LaBeouf",Drama,2013
264,Teenage Mutant Ninja Turtles: Out of the Shadows,112,Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney","Action,Adventure,Comedy",2016
265,Knock Knock,99,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","Drama,Horror,Thriller",2015
266,Dirty Grandpa,102,Dan Mazer,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",Comedy,2016
267,Cloud Atlas,172,Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving","Drama,Sci-Fi",2012
268,X-Men Origins: Wolverine,107,Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston","Action,Adventure,Sci-Fi",2009
269,Satanic,85,Jeffrey G. Hunt,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet",Horror,2016
270,Skyfall,143,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","Action,Adventure,Thriller",2012
271,The Hobbit: An Unexpected Journey,169,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis","Adventure,Fantasy",2012
272,21 Jump Street,110,Phil Lord,"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson","Action,Comedy,Crime",2012
273,Sing Street,106,John Carney,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor","Comedy,Drama,Music",2016
274,Ballerina,89,Eric Summer,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler","Animation,Adventure,Comedy",2016
275,Oblivion,124,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko","Action,Adventure,Mystery",2013
276,22 Jump Street,112,Phil Lord,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman","Action,Comedy,Crime",2014
277,Zodiac,157,David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards","Crime,Drama,History",2007
278,Everybody Wants Some!!,117,Richard Linklater,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch",Comedy,2016
279,Iron Man Three,130,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle","Action,Adventure,Sci-Fi",2013
280,Now You See Me,115,Louis Leterrier,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson","Crime,Mystery,Thriller",2013
281,Sherlock Holmes,128,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","Action,Adventure,Crime",2009
282,Death Proof,113,Quentin Tarantino,"Kurt Russell, ZoÃ« Bell, Rosario Dawson, Vanessa Ferlito",Thriller,2007
283,The Danish Girl,119,Tom Hooper,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw","Biography,Drama,Romance",2015
284,Hercules,98,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes","Action,Adventure",2014
285,Sucker Punch,110,Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone","Action,Fantasy",2011
286,Keeping Up with the Joneses,105,Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot","Action,Comedy",2016
287,Jupiter Ascending,127,Lana Wachowski,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean","Action,Adventure,Sci-Fi",2015
288,Masterminds,95,Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball","Action,Comedy,Crime",2016
289,Iris,99,Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin",Thriller,2016
290,Busanhaeng,118,Sang-ho Yeon,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma","Action,Drama,Horror",2016
291,Pitch Perfect,112,Jason Moore,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp","Comedy,Music,Romance",2012
292,Neighbors 2: Sorority Rising,92,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, ChloÃ« Grace Moretz",Comedy,2016
293,The Exception,107,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, LoÃ¯s van Wijk",Drama,2016
294,Man of Steel,143,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","Action,Adventure,Fantasy",2013
295,The Choice,111,Ross Katz,"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace","Drama,Romance",2016
296,Ice Age: Collision Course,94,Mike Thurmeier,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge","Animation,Adventure,Comedy",2016
297,The Devil Wears Prada,109,David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt","Comedy,Drama",2006
298,The Infiltrator,127,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan","Biography,Crime,Drama",2016
299,There Will Be Blood,158,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, CiarÃ¡n Hinds,Martin Stringer","Drama,History",2007
300,The Equalizer,132,Antoine Fuqua,"Denzel Washington, Marton Csokas, ChloÃ« Grace Moretz, David Harbour","Action,Crime,Thriller",2014
301,Lone Survivor,121,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster","Action,Biography,Drama",2013
302,The Cabin in the Woods,95,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz",Horror,2012
303,The House Bunny,97,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings","Comedy,Romance",2008
304,She's Out of My League,104,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel","Comedy,Romance",2010
305,Inherent Vice,148,Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston","Comedy,Crime,Drama",2014
306,Alice Through the Looking Glass,113,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway","Adventure,Family,Fantasy",2016
307,Vincent N Roxxy,110,Gary Michael Schultz,"Emile Hirsch, ZoÃ« Kravitz, Zoey Deutch,Emory Cohen","Crime,Drama,Thriller",2016
308,The Fast and the Furious: Tokyo Drift,104,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette","Action,Crime,Thriller",2006
309,How to Be Single,110,Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie","Comedy,Romance",2016
310,The Blind Side,129,John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head","Biography,Drama,Sport",2009
311,La vie d'AdÃ¨le,180,Abdellatif Kechiche,"LÃ©a Seydoux, AdÃ¨le Exarchopoulos, Salim Kechiouche, AurÃ©lien Recoing","Drama,Romance",2013
312,The Babadook,93,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney","Drama,Horror",2014
313,The Hobbit: The Battle of the Five Armies,144,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett","Adventure,Fantasy",2014
314,Harry Potter and the Order of the Phoenix,138,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson","Adventure,Family,Fantasy",2007
315,Snowpiercer,126,Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris","Action,Drama,Sci-Fi",2013
316,The 5th Wave,112,J Blakeson,"ChloÃ« Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders","Action,Adventure,Sci-Fi",2016
317,The Stakelander,81,Dan Berk,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson","Action,Horror",2016
318,The Visit,94,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie","Comedy,Horror,Thriller",2015
319,Fast Five,131,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster","Action,Crime,Thriller",2011
320,Step Up,104,Anne Fletcher,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington","Crime,Drama,Music",2006
321,Lovesong,84,So Yong Kim,"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga",Drama,2016
322,RocknRolla,114,Guy Ritchie,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton","Action,Crime,Thriller",2008
323,In Time,109,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde","Action,Sci-Fi,Thriller",2011
324,The Social Network,120,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara","Biography,Drama",2010
325,The Last Witch Hunter,106,Breck Eisner,"Vin Diesel, Rose Leslie, Elijah Wood, Ãlafur Darri Ãlafsson","Action,Adventure,Fantasy",2015
326,Victor Frankenstein,110,Paul McGuigan,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott","Drama,Horror,Sci-Fi",2015
327,A Street Cat Named Bob,103,Roger Spottiswoode,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt","Biography,Comedy,Drama",2016
328,Green Room,95,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart","Crime,Horror,Thriller",2015
329,Blackhat,133,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang","Crime,Drama,Mystery",2015
330,Storks,87,Nicholas Stoller,"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston","Animation,Adventure,Comedy",2016
331,American Sniper,133,Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis","Action,Biography,Drama",2014
332,Dallas Buyers Club,117,Jean-Marc VallÃ©e,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn","Biography,Drama",2013
333,Lincoln,150,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt","Biography,Drama,History",2012
334,Rush,123,Ron Howard,"Daniel BrÃ¼hl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara","Action,Biography,Drama",2013
335,Before I Wake,97,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish","Drama,Fantasy,Horror",2016
336,Silver Linings Playbook,122,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","Comedy,Drama,Romance",2012
337,Tracktown,88,Alexi Pappas,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley","Drama,Sport",2016
338,The Fault in Our Stars,126,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern","Drama,Romance",2014
339,Blended,117,Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon","Comedy,Romance",2014
340,Fast & Furious,107,Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","Action,Crime,Thriller",2009
341,Looper,119,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","Action,Crime,Drama",2012
342,White House Down,131,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke","Action,Drama,Thriller",2013
343,Pete's Dragon,102,David Lowery,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence","Adventure,Family,Fantasy",2016
344,Spider-Man 3,139,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church","Action,Adventure",2007
345,The Three Musketeers,110,Paul W.S. Anderson,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich","Action,Adventure,Romance",2011
346,Stardust,127,Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen","Adventure,Family,Fantasy",2007
347,American Hustle,138,David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence","Crime,Drama",2013
348,Jennifer's Body,102,Karyn Kusama,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons","Comedy,Horror",2009
349,Midnight in Paris,94,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller","Comedy,Fantasy,Romance",2011
350,Lady Macbeth,89,William Oldroyd,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie",Drama,2016
351,Joy,124,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar RamÃ­rez",Drama,2015
352,The Dressmaker,119,Jocelyn Moorhouse,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving","Comedy,Drama",2015
353,CafÃ© Society,96,Woody Allen,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively","Comedy,Drama,Romance",2016
354,Insurgent,119,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet","Adventure,Sci-Fi,Thriller",2015
355,Seventh Son,102,Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander","Action,Adventure,Fantasy",2014
356,Demain tout commence,118,Hugo GÃ©lin,"Omar Sy, ClÃ©mence PoÃ©sy, Antoine Bertrand, Ashley Walters","Comedy,Drama",2016
